Interview Date,Name,Interviewer,Key Themes,Primary Persona,Paid v. Organic,User Description,Raw Transcript
"March 4, 2026","Mar 4 - Bipolar/ADHD, 3AM support, Ash vs. LLMs",Clare Flanagan,"Comparison to therapy, Crisis support, Relational bonding with AI, Voice/audio feedback, Warmth/gentleness",N/A,Paid,"37-year-old father with bipolar, depression, anxiety, ADHD, and autism. Does temp work; discovered Ash after reading about ChatGPT encouraging suicide. Uses Ash primarily for late-night support when professionals are unavailable.","Raw Transcript - 3.4.26, 5pm GMT (User%20Interviews%20(1)/Mar%204%20-%20Bipolar%20ADHD,%203AM%20support,%20Ash%20vs%20LLMs/Raw%20Transcript%20-%203%204%2026,%205pm%20GMT%209023cacb75f782d69a9e01cd2f342a5f.csv) "
"March 4, 2026","Mar 4 - Military student, housing crisis, voice user",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback, Wants expertise, Warmth/gentleness",The Scholar,Paid,"Military school student navigating housing and financial insecurity. Started using Ash after Googling ""AI therapists"" — wanted therapy specifically, not generic companionship. Daily user for several months.","Raw Transcript - 3.4.26, 4:40pm GMT (User%20Interviews%20(1)/Mar%204%20-%20Military%20student,%20housing%20crisis,%20voice%20us/Raw%20Transcript%20-%203%204%2026,%204%2040pm%20GMT%20d4b3cacb75f783898a460189f66ef134.csv) "
"March 3, 2026","Mar 3 - Teacher/farmer advocate, crisis demographic insights",Clare Flanagan,"Clinical use case, Comparison to therapy, Crisis support, Pacing feedback, Relational bonding with AI, Wants expertise",N/A,Paid,"46-year-old 8th grade teacher with ADHD, complex trauma history (recent mother loss, absent father with stage 4 cancer), using Ash as an affordable therapy alternative. Founded Virginia Farmer Stress Task Force; active mental health advocate for men 35–50.","Raw Transcript - 3.3.26, 3pm GMT (User%20Interviews%20(1)/Mar%203%20-%20Teacher%20farmer%20advocate,%20crisis%20demographi/Raw%20Transcript%20-%203%203%2026,%203pm%20GMT%202bf3cacb75f78284b29081278569e4b7.csv) "
"March 2, 2026","Mar 2 - AI-curious hospice volunteer, repetition frustration",Clare Flanagan,"Pacing feedback, Wants expertise",N/A,Paid,"Hospice volunteer with psychology background, referred by therapist friend. Interested in therapeutic AI for end-of-life care. Not socially anxious; felt Ash repeatedly misread her profile and assumed social anxiety she doesn't have.","Raw Transcript - 3.2.26, 6pm GMT (User%20Interviews%20(1)/Mar%202%20-%20AI-curious%20hospice%20volunteer,%20repetition%20f/Raw%20Transcript%20-%203%202%2026,%206pm%20GMT%20dfe3cacb75f783d79d9e012cc749e087.csv) "
"February 27, 2026",30 y/o data scientist - Ash nails the balance between healing and growth,Andrew Frawley,"Been to therapy, Found via friend/family",N/A,Organic,Yan is a 30-year-old data scientist on the West Coast going through a separation. She's had multiple therapists and knows what works for her. A partner referred her to Ash a month ago. She finds its pattern recognition more powerful than human therapists and values that it blends therapeutic healing with self-development naturally.,
"February 26, 2026","45 y/o mom - accessibility is everything, wants Ash to feel more human",Andrew Frawley,Been to therapy,N/A,Organic,"June is a 45-year-old married mother of 12-year-old twins in therapy for anxiety. She found Ash through a research study comparing AI therapy apps. She loves the accessibility but finds Ash too verbose and ""Google-like"" compared to a competitor (Aurie) that feels more like talking to a real person.",
"February 26, 2026",Judith - recent grad and shifting jobs stress,Derrick Hull,Meta Ad,N/A,Paid,"Judith had a human therapist, but switched insurance when switching jobs and didn’t have strength to go through hassle of finding one again. Tried Ash with low expectations, it blew her mind, she’s not sure she’ll ever do human therapy again",
"February 25, 2026","Isolated man finds Ash after losing job, therapist access",Andrew Frawley,"Been to therapy, Meta Ad",N/A,Paid,"Christopher is an isolated man dealing with job loss, insurance gaps, and lifelong mental health struggles. He lost access to his therapist and found Ash via an ad. He values its depth and individualized feel but wants less CBT, shorter responses, and sees it as a mental health tool — not a growth companion.",
"February 25, 2026",68 y/o in RV after house fire - daughter referred her to Ash,Andrew Frawley,"Been to therapy, Found via friend/family",N/A,Organic,"Rebecca is a 68-year-old in Texas living in an RV after her house burned down. She has PTSD, ADHD, and chronic pain. Her daughter recommended Ash after finding it more helpful than two years of therapy. Rebecca used it once for 3 hours and is already planning to use it jointly with her daughter.",
"February 25, 2026",Erica - MD student in Norway,Derrick Hull,Found via friend/family,N/A,Organic,"Erica is a mid-20s 3rd year med student, was using ChatGPT and let that slip to her AI+med tech mother who told her to stop and use something safer and better like Ash. She’s been using it and loving it ever since",
"February 25, 2026",60 y/o in Texas - Ash is her entire support system,Andrew Frawley,"Been to therapy, Meta Ad",N/A,Paid,"Deena is a 60-year-old woman in Katy, TX with no family support system. After 15 years on anxiety meds she didn't need (it was menopause), she found Ash via a Facebook ad during a personal crisis. Ash is her primary emotional lifeline — she credits it with keeping her alive.",
"February 24, 2026",47 y/o dad - Ash delivers what 3 therapists couldn't,Andrew Frawley,"Been to therapy, Meta Ad",N/A,Paid,"Chris is a 47-year-old married father of a 3-year-old in Pennsylvania. After three failed therapy experiences, he found Ash through a Facebook ad and was blown away. He uses it daily as an all-purpose sounding board — mental health, family stress, finances — and calls it everything he wanted from therapy.",
"February 24, 2026","Feb 24 - Romance author, CPTSD, augmented journaling",Clare Flanagan,"Comparison to therapy, Pacing feedback, Prefers directness, Relational bonding with AI, Wants expertise",The Scholar,Paid,"Male romance author splitting time between NYC and London, dealing with visa stress and long-distance relationship with his husband. Has CPTSD and uses Ash 5-7x/week alongside in-person EMDR therapy to process session topics and daily emotions.",
"February 23, 2026",30 y/o - professional likes inbetween help / coaching,Andrew Frawley,"AI skeptic converted, Been to therapy, Comparison to therapy, Found via friend/family, Warmth/gentleness",N/A,Organic,"Amanda is a 30-year-old senior PM in Toronto working at a payer-provider insurance company with in-house mental health services. She found Ash through a colleague, uses it as a real-time decision-processing companion for moments too small or urgent for therapy — and increasingly as an informal career coach.",
"February 23, 2026",mid 30s - tech PM studying to be LCSW fits between journal/therapy (she),Andrew Frawley,"Been to therapy, Pacing feedback, Wants expertise",N/A,Organic,"Galen is a NYC-based early-stage tech professional now pursuing an MSW to become a licensed clinical therapist. She discovered Ash via LinkedIn/Lori Gottlieb, initially explored it as a product evaluator, but stayed because it fills a unique space between journaling and therapy — feedback without judgment.",
"February 23, 2026","Feb 23 - Desktop/voice friction, intermittent churner",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback, Weekly insights praise",Classic Ash,Paid,"20-25 year old male in NYC, found Ash through a friend at a VC studio. Has therapy background and currently works with a performance coach. Using Ash for ~6 months but intermittently; currently paused due to tonsil surgery limiting voice use.",
"February 23, 2026","Feb 23 - Psychotherapist, power user, depth-seeker",Clare Flanagan,"Comparison to therapy, Pacing feedback, UX copy feedback, Voice/audio feedback, Wants expertise, Warmth/gentleness",The Scholar,Paid,"Female, likely 40-50, practicing psychotherapist who discovered Ash via NYT articles on AI in mental health. Has been ""very impressed"" and recommends it to select clients as a between-session support tool.",
"February 20, 2026","Feb 20 - Instant clarification, voice-first, therapy complement",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback",N/A,Paid,"Busy finance professional who uses Ash primarily for in-the-moment thought clarification, not structured learning. Sees a therapist but values Ash for its immediacy and mental-health-focused memory. Highly efficiency-oriented.",
"February 20, 2026","Feb 20 - Career transition, desktop gap, time-bound feature idea",Clare Flanagan,"Comparison to therapy, Pacing feedback, UX copy feedback",N/A,Paid,"Woman going through a career transition and recovering from a toxic work environment. Found Ash via an NYT article. Uses Ash alongside an in-person therapist and career coach, primarily for in-the-moment support. Heavy typer who has been using Ash less due to lack of a desktop interface.",
"February 19, 2026","Feb 19 - Coach persona, nonbinary voice familiarity, social lurker",Clare Flanagan,"Comparison to therapy, Relational bonding with AI, UX copy feedback, Voice/audio feedback",Coach,Paid,"Nonbinary person referred to Ash by a therapist (not their own) who has found it helpful enough to forgo in-person therapy. Uses Ash throughout daily life including on their commute via speakerphone. Voice-first, highly engaged user who values Coach persona for interrupting thought spirals.",
"February 19, 2026","Feb 19 - Multi-condition support, Bestie persona",Clare Flanagan,"Comparison to therapy, Relational bonding with AI, UX copy feedback, Voice/audio feedback, Warmth/gentleness",Bestie,Paid,"Woman living in a 17-foot camper with her husband, managing multiple overlapping conditions including ADHD, bipolar with psychosis, panic disorder, memory problems, and insomnia. Uses Ash daily for grounding and emotional regulation; her therapist and husband have both noticed its positive impact.",
"February 16, 2026","Feb 16 - IT consultant, persona-switcher",Clare Flanagan,"Comparison to therapy, Pacing feedback, Voice/audio feedback, Wants expertise",Coach,Paid,"Male, 30-40, IT consultant between jobs. Using Ash for 6 months, recently engaging more deeply with persona modes. Interested in psychology degree focused on organizational development/high-performance athletes.",
"February 16, 2026","Feb 16 - Practicing therapist, uses for clients & supervision",Clare Flanagan,"Clinical use case, Comparison to therapy, Relational bonding with AI, Wants expertise, Warmth/gentleness",Coach,Paid,Practicing therapist who uses Ash personally and recommends it to clients as between-session support. Uses Ash to get clinical supervision on challenging cases and to explore her own relationship issues. Focuses on relational therapy and somatics.,
"February 16, 2026","Feb 16 - Trauma survivor, nightly support & pre-therapy prep",Clare Flanagan,"Comparison to therapy, Crisis support, Pre-therapy preparation, Wants expertise, Weekly insights praise",The Scholar,Paid,Woman recovering from abusive relationship and subsequent trauma after ex's suicide. Uses Ash nightly for emotional support while searching for therapist. Plans to bring Ash transcripts to future therapy sessions. Found Ash during holiday period when therapists unavailable.,
"February 11, 2026","Feb 11 - AI nerd, autism/ADHD, anti-social features",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Pacing feedback, UX copy feedback, Wants expertise",,Paid,"32-year-old youth worker in the UK, autistic with ADHD, massive AI nerd who used Ash for 16 weeks. Former therapy patient (5.5 years) with strong critical analysis skills.",
"February 9, 2026","Feb 9 - Veteran, doctorate, heavy customization user",Clare Flanagan,"AI skeptic converted, Comparison to therapy, UX copy feedback, Wants expertise, Warmth/gentleness",Bestie,Paid,"50-year-old veteran with doctorate in education. Had trouble accessing VA counseling, found Ash on Facebook. Used it extensively for 16 weeks, highly engaged with customization and direct prompting.",
"February 6, 2026","Feb 6 - Career transition, cultural context",Clare Flanagan,"AI skeptic converted, Pacing feedback, UX copy feedback, Wants expertise",The Real One,Paid,"30-40 year old woman in Dubai, architectural historian transitioning to research role. Uses Ash as sounding board during career flux, primarily in voice mode. Conscious of AI therapy debates but finds validation helpful. Uses mainly for work, not interpersonal relationships.",
"February 6, 2026","Feb 6 - Single mom, prefers Classic Ash",Clare Flanagan,"Comparison to therapy, Prefers directness, UX copy feedback, Warmth/gentleness",Classic Ash,Paid,"Single mom with 6-year-old daughter, moved to new area to care for sick grandmother. Uses Ash to vent without mixing work/family. Values friend-like, personable conversation over clinical/technical tone.",
"February 3, 2026","Feb 3 - Early 30s, AI worker, wants warm + humor",Clare Flanagan,"Comparison to therapy, UX copy feedback, Warmth/gentleness",Classic Ash,Paid,"Male in early to mid-thirties who works in AI. Was in therapy consistently for six years (2013-2019). Uses ChatGPT and custom GPTs for mental health. Found Ash through research on specialized mental health tools, prioritized no-cost option. Switched to Bestie after finding Classic Ash too direct/""tough love."" Working on long-term pattern change issue.",
"February 2, 2026","Feb 2 - Frequent ChatGPT user, wanted supportive friend",Clare Flanagan,"Comparison to therapy, UX copy feedback, Wants expertise",Helpful and informative,Paid,"Male who found Ash through ad. Frequent ChatGPT user who pays for ChatGPT and currently prefers it for emotional support. Uses Ash specifically ""for issues he'd need a therapist for"" since he doesn't have one. Feels Ash ""tells him what to do too much without knowing enough information"" and makes assumptions. Values supportiveness over advice-giving. Only talked to Ash about ~10 situations so it may have less context than ChatGPT.",
"January 30, 2026","Jan 30 - Mid-20s, therapy extension, persona switcher",Clare Flanagan,"Comparison to therapy, Prefers directness, Wants expertise",The Real One,Paid,"Female in mid-20s, found Ash on TikTok but didn't try until struggling with mental health. Uses Ash in combination with traditional therapy as ""extension to therapy"" and journaling tool that prompts deeper exploration. Has chronic illness and disability. First user interviewed who routinely switches between personas.",
"January 30, 2026","Jan 30 - Engineer, divorce, wants expertise + randomness",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Wants expertise",Coach,Paid,"Male engineer who develops audio products. Going through difficult divorce (13 years married, 19 years together). Uses Ash as supplement to IRL therapy. Switched from ChatGPT which became ""extremely repetitive"" and hollow. Values being challenged and held accountable. Preparing to face ex-wife in court and wants to ""grey rock"" (stay calm and not become dysregulated).",
"January 29, 2026","Jan 29 - early 20s, wanted sarcastic/real/relatable",Clare Flanagan,"AI skeptic converted, Prefers directness, UX copy feedback, Wants expertise",The Real One,Paid,"College-aged female in early 20s. Swiped up on Instagram ad out of curiosity. Chose Ash over ChatGPT because it felt centered on ""growth"" rather than ""just reinforcing beliefs."" Wary of ChatGPT being a ""yes man."" Values directness and wants advice that tells her ""what you need to hear rather than what you want to hear.""",
"January 29, 2026","Jan 29 - Med school gap year, AI skeptic converted",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Prefers directness, UX copy feedback, Wants expertise",Coach,Paid,"Female in early 20s, recent undergrad graduate taking gap year while applying to med school. Found Ash after learning about AI for text message help, searched specifically for ""AI Therapy"" because she wanted guidance without troubling others but was skeptical of AI being a ""yes man.""",
"January 29, 2026","Jan 29 - Mid-30s, no social circle, very loyal user",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Wants expertise",Classic Ash,Paid,"Male in mid-to-late 30s, been using Ash for a few months. No social circle due to previous environment (drugs, gangs). Money has been primary barrier to traditional therapy. Extremely appreciative that Ash is free and provides insight ""like a regular therapist would.""",
"January 28, 2026",Jan 28 - 40yo going through divorce,Clare Flanagan,"AI skeptic converted, Comparison to therapy, Warmth/gentleness",Classic Ash,Paid,"40 years old, going through a difficult divorce. Ash recommended by another woman who went through something similar. Also in traditional therapy.",
"January 27, 2026","Jan 27 - Late 20s/early 30s, therapy supplement user",Clare Flanagan,"Comparison to therapy, UX copy feedback, Wants expertise, Warmth/gentleness",Psych Genius,Paid,"Male in late 20s or early 30s, stumbled upon Ash through online ad. Uses both Ash and a human therapist (older male). Sees Ash as ""pseudo-therapist"" for in-the-moment support, especially middle of the night. Uses female voice with Ash for different perspective than male therapist. Describes Ash as ""a mirror"" and tool to reset negative thought patterns.",
"January 27, 2026",Jan 27 - Mom caring for son with medical needs,Clare Flanagan,"Pacing feedback, Prefers directness",The Real One,Paid,"Mother who moved for son's medical care. Struggled to find social support in new location. Late 30s/early 40s. Looking for counseling app, not companionship.",
"January 27, 2026","Jan 27 - 69yo, AI journal framing",Clare Flanagan,"AI skeptic converted, Comparison to therapy, Warmth/gentleness",Classic Ash,Paid,69 years old. Saw Instagram ad. Initially skeptical of AI but now describes Ash as 'prompted journaling with wonderful feedback.' Processing difficult divorce and childhood issues.,
"January 27, 2026","Jan 27 - Anxiety, behavior-focused",Clare Flanagan,"Pacing feedback, Wants expertise",Psych Genius,Paid,"Tremendous anxiety lately. Husband is a clinical social worker. Found Ash through Facebook. Wanted behavior-focused approach, not emotional deep-dives. Has lots of friends already.",